High,Low,Open,Close,Volume,Adj Close,RSI
3381.5,3111.1298828125,3318.0,3294.6201171875,8781800,3294.6201171875,76.42066106023205
3250.85009765625,3130.0,3144.0,3149.840087890625,6094200,3149.840087890625,67.53390036443365
3303.179931640625,3185.0,3202.989990234375,3268.610107421875,5188700,3268.610107421875,70.5585478971062
3349.889892578125,3170.550048828125,3307.219970703125,3175.110107421875,5330700,3175.110107421875,65.39356226262308
3217.340087890625,3083.97998046875,3208.68994140625,3116.219970703125,5094000,3116.219970703125,62.30024223163693
3187.389892578125,3096.0,3172.93994140625,3102.969970703125,4529600,3102.969970703125,61.594269115307675
3175.02001953125,3108.919921875,3136.159912109375,3156.1298828125,4021500,3156.1298828125,63.38688864626656
3187.239990234375,3074.14990234375,3179.989990234375,3078.10009765625,4512200,3078.10009765625,59.031408154686446
3029.429931640625,2972.550048828125,3009.25,3008.72998046875,6449100,3008.72998046875,55.38767571455932
3037.800048828125,2905.5400390625,3031.739990234375,2954.909912109375,8892600,2954.909912109375,52.67127600182194
2962.0,2871.0,2906.5,2960.469970703125,6117900,2960.469970703125,52.92811556731069
3133.989990234375,3000.199951171875,3033.840087890625,3128.989990234375,6948800,3128.989990234375,60.01133716202706
3127.0,2992.3798828125,3120.429931640625,2999.860107421875,5652700,2999.860107421875,53.3826257069949
3069.300048828125,2965.0,2977.7900390625,3019.7900390625,5529400,3019.7900390625,54.22306482689581
3101.5400390625,2999.0,3054.860107421875,3095.1298828125,4615200,3095.1298828125,57.353101949326984
3175.0400390625,3117.169921875,3148.85009765625,3174.050048828125,4224200,3174.050048828125,60.4070953744091
3188.260009765625,3132.5400390625,3175.389892578125,3144.8798828125,3495800,3144.8798828125,58.73293166682664
3212.8798828125,3133.989990234375,3141.139892578125,3148.72998046875,4896100,3148.72998046875,58.89486029106755
3224.0,3172.0,3208.0,3221.260009765625,4971900,3221.260009765625,61.92582772733177
3195.800048828125,3123.0,3153.6298828125,3125.0,5613100,3125.0,56.02171951793868
3202.530029296875,3140.85009765625,3145.840087890625,3199.199951171875,3775300,3199.199951171875,59.247116895598445
3182.0,3090.0,3165.0,3099.9599609375,5086900,3099.9599609375,53.586448256092076
3200.0,3132.389892578125,3135.0,3195.68994140625,4309400,3195.68994140625,57.77721359144293
3233.2900390625,3174.989990234375,3224.989990234375,3190.550048828125,3174100,3190.550048828125,57.477135416198365
3288.989990234375,3197.830078125,3210.0,3286.64990234375,4907900,3286.64990234375,61.502990834215495
3496.239990234375,3339.550048828125,3349.93994140625,3442.929931640625,8364200,3442.929931640625,66.9782122194034
3492.3798828125,3424.219970703125,3467.989990234375,3443.6298828125,5744700,3443.6298828125,67.00084961167252
3464.8798828125,3340.0,3447.0,3363.7099609375,5812700,3363.7099609375,61.79213011482608
3355.8798828125,3280.0,3292.010009765625,3338.64990234375,5223400,3338.64990234375,60.21145896851817
3399.659912109375,3160.0,3363.22998046875,3272.7099609375,6474400,3272.7099609375,56.141906310482476
3329.0,3192.739990234375,3299.610107421875,3207.2099609375,5223600,3207.2099609375,52.35647518344637
3266.0,3192.010009765625,3222.280029296875,3217.010009765625,4509700,3217.010009765625,52.868523405900696
3233.8798828125,3160.0,3212.5,3184.93994140625,4592700,3184.93994140625,50.93915550600862
3198.75,3121.93994140625,3189.8701171875,3176.39990234375,4212000,3176.39990234375,50.4115701325111
3205.330078125,3140.0,3191.0,3204.39990234375,3466700,3204.39990234375,52.16103660616599
3282.97998046875,3153.300048828125,3198.739990234375,3207.0400390625,5901200,3207.0400390625,52.331804823598794
3291.659912109375,3211.300048828125,3224.93994140625,3286.330078125,4291000,3286.330078125,57.26558652737556
3264.02001953125,3162.469970703125,3249.300048828125,3162.780029296875,5588300,3162.780029296875,48.7913093131562
3257.25,3164.0,3201.27001953125,3211.010009765625,6596500,3211.010009765625,51.790476269748176
3167.0,3019.0,3157.75,3036.14990234375,8386400,3036.14990234375,42.15154639085799
3079.7099609375,2950.1201171875,3061.739990234375,3004.47998046875,7257400,3004.47998046875,40.674998963906006
3074.89990234375,2980.97998046875,3018.530029296875,3048.409912109375,4897900,3048.409912109375,43.62497737149882
3244.85009765625,3139.72998046875,3159.989990234375,3241.159912109375,6839000,3241.159912109375,54.35084370544744
3366.800048828125,3288.8798828125,3319.969970703125,3322.0,5789300,3322.0,57.96321374310077
3322.0,3232.0,3304.639892578125,3311.3701171875,4647300,3311.3701171875,57.320882966924316
3289.0,3112.110107421875,3231.030029296875,3143.739990234375,7190400,3143.739990234375,48.241869076816364
3114.0,3019.47998046875,3095.02001953125,3035.02001953125,6591000,3035.02001953125,43.43654164936946
3139.14990234375,3050.0,3061.780029296875,3137.389892578125,4366900,3137.389892578125,48.62564980379778
3175.8798828125,3086.050048828125,3159.949951171875,3110.280029296875,4362000,3110.280029296875,47.3858674542224
3141.719970703125,3085.389892578125,3122.0,3128.81005859375,3756200,3128.81005859375,48.355128358207985
3142.699951171875,3072.68994140625,3093.199951171875,3131.06005859375,3808700,3131.06005859375,48.47923974814665
3189.25,3135.260009765625,3183.5400390625,3135.659912109375,3444700,3135.659912109375,48.75039692897369
3140.0,3105.10009765625,3134.0,3105.4599609375,2916800,3105.4599609375,47.00137081387495
3125.0,3080.919921875,3105.31005859375,3117.02001953125,3010300,3117.02001953125,47.77377610860945
3132.889892578125,3098.050048828125,3117.02001953125,3099.39990234375,3374400,3099.39990234375,46.65759066474168
3139.75,3065.4599609375,3116.699951171875,3098.389892578125,4708900,3098.389892578125,46.59039447679986
